Município;2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Total de homens;casos100k
210667 Milagres do Maranhão;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4197.0;2.65
210675 Miranda do Norte;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;11759.0;0.94
210680 Mirinzal;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7286.0;1.52
210735 Nova Olinda do Maranhão;3.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;5.0;9539.0;5.82
210750 Paço do Lumiar;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;3.0;50744.0;0.66
210810 Paulo Ramos;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;10137.0;2.19
210825 Pedro do Rosário;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11830.0;0.94
210830 Penalva;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;17397.0;1.28
210845 Peritoró;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;10119.0;2.2
210850 Pindaré-Mirim;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;15220.0;1.46
210860 Pinheiro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;38066.0;0.58
210870 Pio XII;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;11004.0;1.01
210880 Pirapemas;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8656.0;1.28
210930 Presidente Vargas;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;5467.0;2.03
210960 Rosário;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;19660.0;2.26
210990 Santa Inês;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;37303.0;0.89
211020 Santa Rita;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;16324.0;1.36
211023 Santana do Maranhão;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;6028.0;1.84
211040 São Benedito do Rio Preto;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9042.0;1.23
211050 São Bento;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;19933.0;0.56
211060 São Bernardo;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;13366.0;1.66
211070 São Domingos do Maranhão;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16900.0;0.66
211080 São Félix de Balsas;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2445.0;4.54
211100 São João Batista;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;10164.0;1.09
211120 São José de Ribamar;2.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;1.0;10.0;78626.0;1.41
211125 São José dos Basílios;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3760.0;2.96
211130 São Luís;2.0;4.0;10.0;4.0;0.0;5.0;3.0;2.0;2.0;32.0;473762.0;0.75
211140 São Luís Gonzaga do Maranhão;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;10161.0;3.28
211150 São Mateus do Maranhão;0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;19241.0;2.31
211170 São Vicente Ferrer;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;10586.0;1.05
211172 Satubinha;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6164.0;1.8
211176 Senador La Rocque;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;9069.0;1.23
211178 Serrano do Maranhão;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5843.0;1.9
211180 Sítio Novo;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;8949.0;1.24
211200 Tasso Fragoso;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3972.0;2.8
211210 Timbiras;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;14100.0;0.79
211220 Timon;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;1.0;6.0;75465.0;0.88
211223 Trizidela do Vale;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;9140.0;1.22
211230 Tuntum;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;20025.0;0.55
211250 Tutóia;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;26675.0;0.42
211260 Urbano Santos;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;12353.0;0.9
211280 Viana;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;3.0;24694.0;1.35
211400 Zé Doca;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;24891.0;0.45
Total;19.0;23.0;28.0;30.0;15.0;25.0;31.0;19.0;29.0;219.0;2238397.0;1.09
 ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
