2011;2012;2013;2014;2015;2016;2017;2018;2019;Total;Total de homens;casos100k
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;11830.0;0.9392317084624777
0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;17397.0;1.2773594425603394
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;10119.0;2.196088765907918
0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;15220.0;1.4600671630895021
0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;38066.0;0.5837813855467404
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;11004.0;1.0097338341613151
0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8656.0;1.2836311357568289
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;5467.0;2.0323963985935816
0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;4.0;19660.0;2.2606533288120265
1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;37303.0;0.8935831791902348
0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;2.0;16324.0;1.3613221160390971
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;6028.0;1.8432500184325002
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;9042.0;1.228833345621667
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;19933.0;0.5574229223454127
0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;13366.0;1.662593313049695
0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16900.0;0.6574621959237344
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2445.0;4.544421722335833
0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;10164.0;1.0931829113647296
2.0;0.0;0.0;0.0;0.0;2.0;2.0;3.0;1.0;10.0;78626.0;1.4131599103491352
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;3760.0;2.955082742316785
2.0;4.0;10.0;4.0;0.0;5.0;3.0;2.0;2.0;32.0;473762.0;0.7504940361522359
0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;10161.0;3.2805170094806937
0.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;4.0;19241.0;2.309882253752115
0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;10586.0;1.0496042991792094
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;6164.0;1.8025812964164685
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;9069.0;1.225174893716078
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;5843.0;1.901610664232605
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;8949.0;1.2416036552811611
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;3972.0;2.797359292827571
